Features,Importance,Cumulative Sum
bwd_packet_length_mean,0.11340778,0.11340778
bwd_packet_length_std,0.10158493,0.21499271
avg_bwd_segment_size,0.0992114,0.31420411
urg_flag_count,0.0915757,0.40577981
average_packet_size,0.07692248,0.48270229
max_packet_length,0.036406655,0.519108945
bwd_header_length,0.03599765,0.555106595
flow_bytes_per_sec,0.035639156,0.590745751
fwd_packet_length_max,0.034443684,0.625189435
packet_length_variance,0.027975855,0.65316529
ack_flag_count,0.026566515,0.679731805
subflow_bwd_bytes,0.026159111,0.705890916
packet_length_std,0.02373051,0.729621426
total_length_of_bwd_packets,0.020268869,0.749890295
bwd_packets_per_sec,0.015191227,0.765081522
bwd_packet_length_min,0.013946145,0.779027667
min_seg_size_forward,0.013942439,0.792970106
subflow_fwd_packets,0.012786044,0.80575615
fwd_packet_length_mean,0.012608841,0.818364991
total_fwd_packets,0.012525325,0.830890316
flow_packets_per_sec,0.012384596,0.843274912
packet_length_mean,0.012028799,0.855303711
idle_mean,0.011302577,0.866606288
flow_iat_mean,0.010887706,0.877493994
fwd_iat_max,0.010678246,0.88817224
destination_port,0.009687268,0.897859508
fwd_iat_total,0.009298606,0.907158114
bwd_packet_length_max,0.008886784,0.916044898
psh_flag_count,0.007765959,0.923810857
flow_iat_std,0.007714494,0.931525351
fwd_iat_min,0.006843892,0.938369243
fwd_iat_mean,0.006488824,0.944858067
init_win_bytes_forward,0.005700898,0.950558965
init_win_bytes_backward,0.005415621,0.955974586
bwd_iat_std,0.004803554,0.96077814
flow_duration,0.004387626,0.965165766
total_length_of_fwd_packets,0.004143515,0.969309281
active_std,0.004017318,0.973326599
flow_iat_min,0.00382061,0.977147208
subflow_fwd_bytes,0.003721903,0.980869112
fin_flag_count,0.002871119,0.98374023
bwd_iat_total,0.00238931,0.98612954
bwd_iat_mean,0.002274559,0.988404099
fwd_header_length,0.002215266,0.990619365
total_backward_packets,0.001964595,0.99258396
subflow_bwd_packets,0.001720234,0.994304194
avg_fwd_segment_size,0.001297973,0.995602168
min_packet_length,0.001261505,0.996863672
act_data_pkt_fwd,0.001071508,0.99793518
bwd_iat_min,0.000487825,0.998423005
active_mean,0.000438818,0.998861823
active_max,0.000363698,0.999225522
bwd_iat_max,0.000303942,0.999529464
active_min,0.000187963,0.999717427
fwd_packet_length_std,0.000143491,0.999860917
down_up_ratio,0.000139128,1.000000045
idle_std,0,1.000000045
idle_max,0,1.000000045
fwd_psh_flags,0,1.000000045
bwd_psh_flags,0,1.000000045
fwd_packet_length_min,0,1.000000045
syn_flag_count,0,1.000000045
bwd_avg_bulk_rate,0,1.000000045
fwd_urg_flags,0,1.000000045
rst_flag_count,0,1.000000045
bwd_avg_packets_per_bulk,0,1.000000045
bwd_avg_bytes_per_bulk,0,1.000000045
fwd_avg_bulk_rate,0,1.000000045
fwd_avg_packets_per_bulk,0,1.000000045
fwd_avg_bytes_per_bulk,0,1.000000045
bwd_urg_flags,0,1.000000045
fwd_packets_per_sec,0,1.000000045
ece_flag_count,0,1.000000045
cwe_flag_count,0,1.000000045
flow_iat_max,0,1.000000045
fwd_iat_std,0,1.000000045
idle_min,0,1.000000045
